id,purchaseOrderNumber,companyId,userId,orderType,trackingNumber,dateReceived,shippedVia,comment,createdAt,updatedAt
98,EO-7835,1404,8,,,2020-03-17T11:17:22.498,,,2020-03-17T11:17:22.498,2020-03-17T11:17:22.498
99,EO-7830,1405,8,,,2020-03-17T11:17:43.016,,,2020-03-17T11:17:43.016,2020-03-17T11:17:43.016
100,EO-7854,1406,8,,,2020-03-17T11:18:11.141,,,2020-03-17T11:18:11.141,2020-03-17T11:18:11.141
101,EO-7853,1407,8,,,2020-03-17T11:19:08.233,,,2020-03-17T11:19:08.233,2020-03-17T11:19:08.233
102,EO-7858,1390,8,,,2020-03-17T11:19:49.277,,,2020-03-17T11:19:49.277,2020-03-17T11:19:49.277
104,EO-0040400,1408,8,,,2020-03-17T11:20:52.536,,,2020-03-17T11:20:52.536,2020-03-17T11:20:52.536
105,EO-7851,1409,10,,,2020-03-17T11:28:25.308,,NO - Ears,2020-03-17T11:28:25.308,2020-03-17T11:28:25.308
108,EO-7846 ,92,8,,,2020-03-17T11:33:35.020,,,2020-03-17T11:33:35.020,2020-03-17T11:33:35.020
109,EO-7849-REP,61,8,,,2020-03-17T13:37:27.711,,,2020-03-17T13:37:27.711,2020-03-17T13:37:27.711
110,EO-7844,1410,8,,,2020-03-17T13:38:08.949,,,2020-03-17T13:38:08.949,2020-03-17T13:38:08.949
111,RMA-12822,1362,8,,,2020-03-17T13:38:43.508,,Return,2020-03-17T13:38:43.508,2020-03-17T13:38:43.508
112,EO-7856,1362,8,,,2020-03-18T11:17:34.457,,,2020-03-18T11:17:34.457,2020-03-18T11:17:34.457
113,RMA-12837,37,8,,,2020-03-18T11:18:08.039,,,2020-03-18T11:18:08.039,2020-03-18T11:18:08.039
114,EO-7861,1411,8,,,2020-03-18T13:11:05.196,,,2020-03-18T13:11:05.196,2020-03-18T13:11:05.196
115,EO-7813,1412,8,,,2020-03-18T13:56:35.801,,,2020-03-18T13:56:35.801,2020-03-18T13:56:35.801
116,EO-27228,1413,8,,,2020-03-18T15:17:39.311,,,2020-03-18T15:17:39.311,2020-03-18T15:17:39.311
117,EO-7850,1397,8,,,2020-03-19T11:06:05.096,,,2020-03-19T11:06:05.096,2020-03-19T11:06:05.096
118,EO-7864,1414,8,,,2020-03-19T11:06:37.390,,,2020-03-19T11:06:37.390,2020-03-19T11:06:37.390
119,EO-7860,1415,10,,,2020-03-19T13:27:10.875,,,2020-03-19T13:27:10.875,2020-03-19T13:27:10.875
120,EO-7859,1416,8,,,2020-03-20T11:21:46.589,,,2020-03-20T11:21:46.589,2020-03-20T11:21:46.589
125,EO-7872,1417,8,,,2020-03-24T14:23:33.275,,,2020-03-24T14:23:33.275,2020-03-24T14:23:33.275
126,EO-7873,1418,8,,,2020-03-24T14:23:56.603,,,2020-03-24T14:23:56.603,2020-03-24T14:23:56.603
